X(mm)	Y(mm)	Z(mm)	Rx(rad)	Ry(rad)	Rz(rad)	Distance(mm)
115.991	-361.013	202.011	2.34	2.00	-0.22	-39.0
116.000	-361.005	201.994	2.34	2.00	-0.22	-39.0
116.001	-361.010	202.001	2.34	2.00	-0.22	-39.0
115.993	-361.012	202.008	2.34	2.00	-0.22	-39.0
115.999	-361.010	201.997	2.34	2.00	-0.22	-39.0
115.991	-361.012	201.996	2.34	2.00	-0.22	-39.0
115.998	-361.008	201.991	2.34	2.00	-0.22	-39.0
115.982	-361.017	201.994	2.34	2.00	-0.22	-39.0
115.994	-361.008	201.992	2.34	2.00	-0.22	-39.0
115.994	-361.012	201.990	2.34	2.00	-0.22	-39.0
116.005	-361.007	202.000	2.34	2.00	-0.22	-39.0
115.996	-361.009	202.009	2.34	2.00	-0.22	-39.0
115.992	-361.012	201.996	2.34	2.00	-0.22	-39.0
115.993	-361.012	202.001	2.34	2.00	-0.22	-39.0
115.987	-361.008	201.992	2.34	2.00	-0.22	-39.0
115.993	-361.000	202.000	2.34	2.00	-0.22	-39.0
115.990	-361.014	202.004	2.34	2.00	-0.22	-39.0
115.972	-361.017	202.009	2.34	2.00	-0.22	-39.0
115.982	-361.011	201.984	2.34	2.00	-0.22	-39.0
115.979	-361.013	202.001	2.34	2.00	-0.22	-39.0
115.978	-361.012	201.989	2.34	2.00	-0.22	-39.0
115.991	-361.004	201.988	2.34	2.00	-0.22	-39.0
115.981	-361.010	201.988	2.34	2.00	-0.22	-39.0
115.978	-361.013	201.996	2.34	2.00	-0.22	-39.0
115.979	-361.009	201.979	2.34	2.00	-0.22	-39.0
115.982	-361.010	201.987	2.34	2.00	-0.22	-39.0
115.993	-361.016	201.990	2.34	2.00	-0.22	-39.0
115.971	-361.018	201.999	2.34	2.00	-0.22	-39.0
115.987	-361.008	201.998	2.34	2.00	-0.22	-39.0
115.971	-361.012	201.990	2.34	2.00	-0.22	-39.0
115.972	-361.014	202.001	2.34	2.00	-0.22	-39.0
115.989	-361.013	202.006	2.34	2.00	-0.22	-39.0
115.964	-361.020	201.995	2.34	2.00	-0.22	-39.0
115.984	-361.016	202.008	2.34	2.00	-0.22	-39.0
115.972	-361.017	202.009	2.34	2.00	-0.22	-39.0
115.983	-361.017	201.993	2.34	2.00	-0.22	-39.0
115.985	-361.014	202.005	2.34	2.00	-0.22	-39.0
115.978	-361.012	201.994	2.34	2.00	-0.22	-39.0
115.980	-361.021	201.994	2.34	2.00	-0.22	-39.0
115.986	-361.007	201.979	2.34	2.00	-0.22	-39.0
115.989	-361.008	201.992	2.34	2.00	-0.22	-39.0
115.979	-361.014	201.991	2.34	2.00	-0.22	-39.0
115.965	-361.018	201.997	2.34	2.00	-0.22	-39.0
115.987	-361.011	201.991	2.34	2.00	-0.22	-39.0
115.983	-361.017	202.009	2.34	2.00	-0.22	-39.0
115.982	-361.019	202.007	2.34	2.00	-0.22	-39.0
115.987	-361.009	201.989	2.34	2.00	-0.22	-39.0
115.975	-361.015	201.997	2.34	2.00	-0.22	-39.0
115.968	-361.021	201.998	2.34	2.00	-0.22	-39.0
115.968	-361.017	201.993	2.34	2.00	-0.22	-39.0
115.974	-361.023	202.015	2.34	2.00	-0.22	-39.0
115.974	-361.020	201.999	2.34	2.00	-0.22	-39.0
115.975	-361.012	201.992	2.34	2.00	-0.22	-39.0
115.984	-361.009	201.992	2.34	2.00	-0.22	-39.0
115.982	-361.012	201.997	2.34	2.00	-0.22	-39.0
115.972	-361.020	202.005	2.34	2.00	-0.22	-39.0
115.983	-361.012	202.007	2.34	2.00	-0.22	-39.0
115.982	-361.015	201.996	2.34	2.00	-0.22	-39.0
115.994	-361.013	202.007	2.34	2.00	-0.22	-39.0
115.974	-361.008	201.991	2.34	2.00	-0.22	-39.0
115.970	-361.011	201.989	2.34	2.00	-0.22	-39.0
115.980	-361.017	202.001	2.34	2.00	-0.22	-39.0
115.976	-361.014	201.993	2.34	2.00	-0.22	-39.0
115.982	-361.014	201.988	2.34	2.00	-0.22	-39.0
115.969	-361.021	201.999	2.34	2.00	-0.22	-39.0
115.974	-361.017	202.006	2.34	2.00	-0.22	-39.0
115.966	-361.021	201.997	2.34	2.00	-0.22	-39.0
115.969	-361.014	201.982	2.34	2.00	-0.22	-39.0
115.976	-361.010	201.997	2.34	2.00	-0.22	-39.0
115.972	-361.010	201.994	2.34	2.00	-0.22	-39.0
115.972	-361.017	201.999	2.34	2.00	-0.22	-39.0
115.971	-361.009	201.991	2.34	2.00	-0.22	-39.0
115.979	-361.014	202.000	2.34	2.00	-0.22	-39.0
115.984	-361.018	202.016	2.34	2.00	-0.22	-39.0
115.977	-361.014	202.003	2.34	2.00	-0.22	-39.0
115.980	-361.012	201.982	2.34	2.00	-0.22	-39.0
115.970	-361.012	201.989	2.34	2.00	-0.22	-39.0
115.986	-361.009	201.998	2.34	2.00	-0.22	-39.0
115.984	-361.010	201.989	2.34	2.00	-0.22	-39.0
115.982	-361.007	201.995	2.34	2.00	-0.22	-39.0
115.985	-361.012	201.994	2.34	2.00	-0.22	-39.0
115.985	-361.012	201.997	2.34	2.00	-0.22	-39.0
115.983	-361.012	201.997	2.34	2.00	-0.22	-39.0
115.985	-361.013	201.992	2.34	2.00	-0.22	-39.0
115.978	-361.013	202.001	2.34	2.00	-0.22	-39.0
115.962	-361.017	201.998	2.34	2.00	-0.22	-39.0
115.972	-361.015	201.987	2.34	2.00	-0.22	-39.0
115.978	-361.011	201.993	2.34	2.00	-0.22	-39.0
115.971	-361.017	201.992	2.34	2.00	-0.22	-39.0
115.969	-361.017	201.998	2.34	2.00	-0.22	-39.0
115.974	-361.010	201.978	2.34	2.00	-0.22	-39.0
115.991	-361.013	202.008	2.34	2.00	-0.22	-39.0
115.982	-361.013	201.988	2.34	2.00	-0.22	-39.0
115.972	-361.015	201.992	2.34	2.00	-0.22	-39.0
115.988	-361.014	201.997	2.34	2.00	-0.22	-39.0
115.985	-361.007	201.979	2.34	2.00	-0.22	-39.0
115.972	-361.025	202.013	2.34	2.00	-0.22	-39.0
115.981	-361.022	202.017	2.34	2.00	-0.22	-39.0
115.972	-361.010	201.984	2.34	2.00	-0.22	-39.0
115.983	-361.013	202.004	2.34	2.00	-0.22	-39.0
115.980	-361.014	201.997	2.34	2.00	-0.22	-39.0
115.973	-361.011	201.996	2.34	2.00	-0.22	-39.0
115.972	-361.017	201.992	2.34	2.00	-0.22	-39.0
115.984	-361.014	202.000	2.34	2.00	-0.22	-39.0
115.979	-361.013	202.000	2.34	2.00	-0.22	-39.0
115.983	-361.014	201.998	2.34	2.00	-0.22	-39.0
115.975	-361.016	201.988	2.34	2.00	-0.22	-39.0
115.982	-361.011	201.995	2.34	2.00	-0.22	-39.0
115.980	-361.010	201.991	2.34	2.00	-0.22	-39.0
115.976	-361.011	201.982	2.34	2.00	-0.22	-39.0
115.993	-361.014	202.003	2.34	2.00	-0.22	-39.0
115.977	-361.022	202.007	2.34	2.00	-0.22	-39.0
115.984	-361.010	201.993	2.34	2.00	-0.22	-39.0
115.992	-361.015	201.989	2.34	2.00	-0.22	-39.0
115.976	-361.015	201.988	2.34	2.00	-0.22	-39.0
115.974	-361.013	201.993	2.34	2.00	-0.22	-39.0
115.985	-361.015	201.996	2.34	2.00	-0.22	-39.0
115.972	-361.017	202.000	2.34	2.00	-0.22	-39.0
115.975	-361.020	202.016	2.34	2.00	-0.22	-39.0
115.962	-361.017	201.987	2.34	2.00	-0.22	-39.0
115.969	-361.016	201.985	2.34	2.00	-0.22	-39.0
115.977	-361.013	201.999	2.34	2.00	-0.22	-39.0
115.992	-361.007	201.987	2.34	2.00	-0.22	-39.0
115.983	-361.014	202.010	2.34	2.00	-0.22	-39.0
115.965	-361.018	201.997	2.34	2.00	-0.22	-39.0
115.975	-361.020	201.994	2.34	2.00	-0.22	-39.0
115.964	-361.026	202.004	2.34	2.00	-0.22	-39.0
115.984	-361.014	202.005	2.34	2.00	-0.22	-39.0
115.982	-361.015	201.996	2.34	2.00	-0.22	-39.0
115.982	-361.012	201.997	2.34	2.00	-0.22	-39.0
115.977	-361.014	201.990	2.34	2.00	-0.22	-39.0
115.975	-361.019	202.003	2.34	2.00	-0.22	-39.0
115.982	-361.015	202.007	2.34	2.00	-0.22	-39.0
115.990	-361.008	202.000	2.34	2.00	-0.22	-39.0
115.978	-361.015	201.994	2.34	2.00	-0.22	-39.0
115.977	-361.012	201.994	2.34	2.00	-0.22	-39.0
115.984	-361.014	201.994	2.34	2.00	-0.22	-39.0
115.981	-361.014	202.006	2.34	2.00	-0.22	-39.0
115.960	-361.022	202.000	2.34	2.00	-0.22	-39.0
115.975	-361.017	201.999	2.34	2.00	-0.22	-39.0
115.979	-361.010	202.001	2.34	2.00	-0.22	-39.0
115.964	-361.023	202.002	2.34	2.00	-0.22	-39.0
115.977	-361.014	202.003	2.34	2.00	-0.22	-39.0
115.972	-361.012	201.982	2.34	2.00	-0.22	-39.0
115.983	-361.010	201.998	2.34	2.00	-0.22	-40.0
115.972	-361.012	201.993	2.34	2.00	-0.22	-39.0
115.974	-361.007	201.984	2.34	2.00	-0.22	-40.0
115.975	-361.014	201.989	2.34	2.00	-0.22	-38.0
115.973	-361.012	202.002	2.34	2.00	-0.22	-39.0
115.972	-361.014	201.995	2.34	2.00	-0.22	-38.0
115.984	-361.017	201.995	2.34	2.00	-0.22	-37.0
115.986	-361.005	201.988	2.34	2.00	-0.22	-38.0
